                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.8806,                 1.6866,                 1.8313,                0.82441,                0.35714,                0.42976,                0.24606,                 2.0556,                 1.4689,                 1.8623,               0.001604,               0.001604,               0.001604
                     62,                 1.8773,                 1.8205,                  1.854,                0.96345,                0.35714,                0.44088,                0.22972,                 1.9634,                 1.4627,                 1.8055,              0.0015974,              0.0015974,              0.0015974
                     63,                  1.925,                 1.8388,                 1.9227,                 0.8832,                0.42857,                0.50348,                0.25012,                 1.9313,                  1.207,                 1.7841,              0.0015908,              0.0015908,              0.0015908
                     64,                  2.051,                 1.9967,                 1.9924,                0.82492,                    0.5,                0.50574,                0.23833,                 1.9591,                 1.2846,                 1.8109,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.9399,                 1.7402,                 1.8563,                0.84405,                    0.5,                0.49018,                 0.2773,                 1.9198,                 1.2109,                 1.7477,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.8653,                 1.7235,                  1.833,                0.96995,                0.42857,                0.51506,                 0.2925,                 1.9076,                 1.2633,                 1.7211,               0.001571,               0.001571,               0.001571
                     67,                 1.9201,                 1.7678,                 1.7732,                0.97638,                0.42857,                0.48512,                 0.2651,                 1.9601,                  1.506,                 1.7674,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.9207,                 1.7973,                  1.907,                0.97141,                0.42857,                0.48354,                 0.2636,                 1.8149,                 1.5026,                  1.732,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.8277,                 1.6288,                 1.8224,                0.85622,                0.42581,                0.48971,                0.28807,                 1.8357,                 1.3245,                 1.7757,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.8575,                 1.7096,                 1.6988,                0.84312,                0.42857,                0.48972,                0.26936,                 1.9426,                 1.2037,                 1.7843,              0.0015446,              0.0015446,              0.0015446
                     71,                  1.876,                 1.6246,                 1.9246,                0.98142,                0.42857,                0.52499,                0.30461,                 1.7958,                 1.2335,                 1.8048,               0.001538,               0.001538,               0.001538
                     72,                 1.7481,                 1.5183,                 1.7492,                0.97199,                0.35714,                0.49984,                0.26705,                  1.886,                 1.2502,                 1.7905,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.7695,                 1.5661,                 1.7218,                0.91273,                0.35714,                 0.4814,                 0.2598,                 1.9849,                 1.7003,                 1.8721,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.8357,                 1.5826,                  1.841,                0.97646,                0.42857,                0.52452,                0.25027,                 2.0512,                 1.4238,                 1.9126,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.8835,                 1.5697,                 1.8088,                0.95244,                0.42857,                0.49242,                0.28068,                 1.8984,                 1.2861,                 1.7425,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.9492,                 1.6958,                 1.9184,                0.71675,                0.57143,                0.58859,                0.34466,                 1.7133,                 1.1471,                 1.6435,               0.001505,               0.001505,               0.001505
                     77,                 1.8013,                 1.4412,                 1.6679,                0.82765,                    0.5,                0.57493,                0.38504,                 1.6959,                 1.1923,                  1.689,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.7614,                 1.4215,                 1.6971,                0.88649,                    0.5,                0.57792,                0.33249,                  1.846,                 1.2664,                 1.7744,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.9073,                 1.6286,                 1.8945,                0.87128,                0.48511,                0.56138,                0.29848,                 1.8097,                 1.2381,                 1.7183,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.9141,                 1.4989,                 1.7455,                0.85418,                    0.5,                0.55603,                0.32335,                 1.7168,                 1.2379,                 1.7132,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.8635,                 1.6527,                 1.7386,                0.61577,                    0.5,                0.53087,                0.32262,                 1.8278,                 1.2354,                 1.7229,               0.001472,               0.001472,               0.001472
                     82,                 1.7605,                 1.5316,                 1.7186,                0.76846,                0.47604,                0.54605,                0.32766,                 1.8632,                 1.2335,                 1.7183,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.7018,                 1.4415,                  1.674,                0.71948,                0.55103,                0.59893,                0.31209,                 1.8401,                 1.1693,                 1.7153,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.6972,                 1.4897,                 1.7304,                0.75084,                    0.5,                0.59614,                0.31877,                 1.6791,                 1.1471,                 1.6523,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.6401,                 1.4404,                 1.7108,                0.78076,                    0.5,                0.60633,                0.31743,                 1.7607,                 1.2056,                 1.7129,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.7697,                 1.4606,                 1.7032,                0.87604,                0.50533,                 0.6191,                0.32549,                 1.8482,                 1.1544,                 1.7493,               0.001439,               0.001439,               0.001439
                     87,                 1.7019,                 1.4106,                 1.5614,                0.76444,                    0.5,                0.59565,                0.33245,                 1.8496,                 1.1125,                 1.7219,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.6925,                 1.3632,                 1.5732,                0.47262,                0.64286,                0.54592,                0.32901,                 1.7925,                 1.0789,                 1.7015,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.6629,                 1.4248,                 1.7381,                0.77817,                    0.5,                0.58213,                0.32466,                  1.758,                 1.0723,                 1.6329,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.6946,                  1.466,                 1.6535,                 0.9859,                    0.5,                0.57598,                0.29436,                 1.7036,                 1.0921,                 1.6575,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.6456,                 1.4118,                 1.6102,                0.70246,                0.57143,                0.59528,                  0.278,                 1.8595,                 1.0901,                  1.686,               0.001406,               0.001406,               0.001406
                     92,                  1.868,                 1.4666,                 1.7194,                0.88702,                0.57143,                0.64086,                0.28738,                 1.8595,                 1.0361,                 1.6665,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.7075,                 1.2712,                 1.6031,                0.50398,                0.65367,                0.57677,                0.30714,                 1.6594,                0.99456,                 1.5731,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.6631,                 1.3635,                 1.6739,                0.66459,                0.57143,                0.56061,                 0.3225,                 1.7499,                 1.0258,                 1.6193,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.6394,                 1.4015,                 1.5829,                0.77193,                0.57143,                 0.5901,                0.32337,                 1.7369,                 1.0617,                 1.6679,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.6454,                 1.3312,                 1.5569,                0.87267,                0.57143,                0.63356,                0.33564,                 1.6636,                 1.0786,                  1.682,               0.001373,               0.001373,               0.001373
                     97,                 1.7181,                 1.4195,                 1.6651,                      1,                0.56867,                0.63682,                0.31324,                 1.6696,                 1.0733,                 1.5948,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.5564,                 1.2675,                 1.5968,                0.65207,                0.57143,                0.51648,                0.28952,                 1.7254,                 1.1037,                  1.561,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.7594,                 1.4774,                 1.7661,                0.64828,                0.57143,                 0.5691,                0.27505,                 1.7464,                  1.283,                 1.5789,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.6735,                 1.3008,                 1.6827,                 0.9664,                    0.5,                0.59402,                 0.3042,                 1.7235,                 1.2272,                 1.5903,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.6249,                 1.3191,                 1.5927,                      1,                0.55511,                0.62586,                0.31855,                 1.6193,                 1.2662,                  1.618,                0.00134,                0.00134,                0.00134
                    102,                 1.7047,                 1.3482,                  1.591,                 0.8518,                0.57143,                0.60579,                0.32571,                  1.666,                 1.1614,                 1.6704,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.7248,                 1.3022,                 1.6992,                0.93399,                    0.5,                0.61398,                0.34006,                 1.5616,                 1.0086,                  1.572,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.6271,                 1.3125,                 1.6469,                0.90995,                    0.5,                0.60691,                0.32855,                 1.5496,                0.98358,                 1.5634,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.6412,                 1.2897,                 1.5117,                 0.7979,                0.56469,                 0.5824,                0.32558,                 1.6431,                 1.1404,                 1.5955,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.6943,                  1.254,                 1.6503,                0.85723,                    0.5,                0.56339,                0.28872,                 1.6987,                 1.1682,                 1.6416,               0.001307,               0.001307,               0.001307
                    107,                 1.7616,                 1.3072,                  1.576,                0.83747,                    0.5,                0.49331,                0.28102,                   1.84,                 1.5228,                 1.5855,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.7118,                 1.4089,                 1.5554,                      1,                0.42041,                0.47445,                0.29674,                 1.7917,                 1.6732,                 1.6072,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.5192,                  1.157,                 1.5652,                0.96635,                    0.5,                 0.5982,                0.33312,                 1.7107,                 1.0925,                 1.6286,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.5287,                 1.1945,                 1.4743,                0.96407,                0.57143,                0.62318,                0.37921,                 1.6162,                  1.107,                 1.5602,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.6913,                 1.3274,                 1.6033,                0.84846,                    0.5,                 0.5949,                0.28015,                 1.8634,                 1.2832,                 1.6916,               0.001274,               0.001274,               0.001274
                    112,                 1.6054,                 1.2628,                 1.6384,                0.65996,                0.57143,                0.59417,                0.33983,                 1.6484,                 1.1846,                 1.6196,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.6553,                 1.2876,                 1.6845,                0.78756,                0.57143,                0.59807,                0.37666,                 1.5159,                 1.0611,                 1.5876,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.6378,                 1.2052,                 1.6361,                0.64058,                0.57143,                0.58676,                0.37483,                 1.5189,                0.99501,                 1.5475,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.5567,                 1.1934,                 1.5645,                0.72144,                0.64286,                 0.6185,                0.32935,                 1.6886,                0.99137,                 1.5571,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.5807,                  1.158,                  1.577,                 0.7246,                0.64286,                0.61144,                0.34002,                 1.7011,                0.98717,                 1.5727,               0.001241,               0.001241,               0.001241
                    117,                 1.4669,                 1.1516,                 1.5232,                0.80395,                0.64286,                0.62946,                0.35766,                 1.6231,                  1.014,                  1.573,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.4491,                 1.1565,                 1.4679,                0.77128,                0.64286,                0.64461,                0.38077,                 1.5732,                 1.0824,                 1.5632,              0.0012278,              0.0012278,              0.0012278
